ORF,Chr,ORF_Start,ORF_End,Strand,TSS,TTS,TranscriptLength,TranscriptQualifier,TranscriptCenter,PromoterLength,PromoterQualifier,PromoterCenter,NDR3pLength,NDR3pQualifier,NDR3pCenter,Plus1,Minus1,RelativePlus1,RelativeMinus1,NDRcenter,NDRwidth
YAL028W,chrI,92900,94486,1,92854,94606,1753,Verified,93730,331,divergent,92688,0,tandem,94606,92908,92451,54,-403,92680,310
YAL027W,chrI,94687,95472,1,94607,95578,972,Verified,95093,0,tandem,94607,-97,convergent,95529,94681,94442,74,-165,94562,92
YAL026C,chrI,99697,95630,-1,99783,95482,4302,Verified,97633,238,tandem,99902,874,convergent,95045,99737,99995,46,-212,99866,111
YAL025C,chrI,101145,100225,-1,101168,100022,1147,Verified,100595,202,tandem,101269,238,tandem,99903,101140,101436,28,-268,101288,149
YAL024C,chrI,105872,101565,-1,105976,101371,4606,Verified,103674,166,tandem,106059,202,tandem,101270,105929,106188,47,-212,106059,112
YAL023C,chrI,108551,106272,-1,108639,106143,2497,Verified,107391,195,tandem,108737,166,tandem,106060,108603,108934,36,-295,108769,184
YAL022C,chrI,110430,108877,-1,110446,108835,1612,Verified,109641,169,tandem,110531,195,tandem,108737,110407,110671,39,-225,110539,117
YAL021C,chrI,113359,110846,-1,113403,110616,2788,Verified,112010,133,tandem,113470,169,tandem,110531,113360,113623,43,-220,113492,116
YAL020C,chrI,114615,113614,-1,114630,113537,1094,Verified,114084,178,divergent,114719,133,tandem,113470,114580,114854,50,-224,114717,127
YAL019W,chrI,114919,118314,1,114809,118386,3578,Verified,116598,178,divergent,114720,177,convergent,118475,114854,114580,45,-229,114717,127
YAL017W,chrI,120225,124295,1,119858,124459,4602,Verified,122159,316,divergent,119700,338,tandem,124628,119912,119608,54,-250,119760,157
YAL016W,chrI,124879,126786,1,124798,126875,2078,Verified,125837,338,tandem,124629,20,convergent,126885,124844,124582,46,-216,124713,115
YAL015C,chrI,128102,126903,-1,128102,126896,1207,Verified,127499,-12,tandem,128096,2097,convergent,125847,128033,128258,69,-156,128146,78
YAL014C,chrI,129019,128252,-1,129067,128091,977,Verified,128579,168,divergent,129151,-12,tandem,128097,129013,129288,54,-221,129151,128
YAL013W,chrI,129270,130487,1,129236,130583,1348,Verified,129910,168,divergent,129152,160,tandem,130663,129288,129013,52,-223,129151,128
YAL012W,chrI,130799,131983,1,130744,132082,1339,Verified,131413,160,tandem,130664,112,tandem,132138,130771,130461,27,-283,130616,163
YAL011W,chrI,132199,134076,1,132195,134178,1984,Verified,133187,112,tandem,132139,-43,convergent,134156,132227,131970,32,-225,132099,110
YAL010C,chrI,135665,134184,-1,135706,134136,1571,Verified,134921,106,divergent,135759,1940,convergent,133166,135653,135872,53,-166,135763,72
YAL009W,chrI,135854,136633,1,135813,136780,968,Verified,136297,106,divergent,135760,85,tandem,136823,135872,135653,59,-160,135763,72
YAL008W,chrI,136914,137510,1,136866,137637,772,Verified,137252,85,tandem,136823,-116,convergent,137579,136902,136699,36,-167,136801,56
YAL007C,chrI,138345,137698,-1,138420,137522,899,Verified,137971,936,tandem,138888,655,convergent,137194,138370,138650,50,-230,138510,133
YAL005C,chrI,141431,139503,-1,141493,139357,2137,Verified,140425,659,divergent,141823,936,tandem,138889,141558,142216,-65,-723,141887,511
YAL003W,chrI,142174,143160,1,142153,143368,1216,Verified,142761,659,divergent,141823,182,tandem,143459,142209,141561,56,-592,141885,501
YAL002W,chrI,143707,147531,1,143551,147565,4015,Verified,145558,182,tandem,143460,-27,convergent,147551,143664,143324,113,-227,143494,193
YAL001C,chrI,151166,147594,-1,151204,147539,3666,Verified,149372,1010,divergent,151709,3987,convergent,145545,151142,151365,62,-161,151254,76
YAR002W,chrI,152257,153876,1,152215,153962,1748,Verified,153089,1010,divergent,151710,26,convergent,153975,152268,151978,53,-237,152123,143
YAR002C-A,chrI,154724,154065,-1,154740,153989,752,Verified,154365,210,divergent,154845,1773,convergent,153102,154713,154984,27,-244,154849,124
YAR003W,chrI,155005,156285,1,154951,156285,1335,Verified,155618,210,divergent,154846,395,convergent,156483,154984,154713,33,-238,154849,124
YAR007C,chrI,158619,156754,-1,158682,156681,2002,Verified,157682,185,divergent,158775,1729,convergent,155816,158638,158914,44,-232,158776,129
YAR008W,chrI,158966,159793,1,158868,159860,993,Verified,159364,185,divergent,158775,6696,convergent,163208,158914,158638,46,-230,158776,129
YAR014C,chrI,168871,166742,-1,169021,166557,2465,Verified,167789,250,divergent,169146,7688,convergent,162713,168973,169454,48,-433,169214,334
YAR015W,chrI,169375,170295,1,169272,170390,1119,Verified,169831,250,divergent,169147,-128,convergent,170326,169454,168973,182,-299,169214,334
YAR018C,chrI,171703,170396,-1,171719,170263,1457,Verified,170991,399,tandem,171919,990,convergent,169768,171703,171953,16,-234,171828,103
YAR019C,chrI,175135,172211,-1,175135,172119,3017,Verified,173627,1344,tandem,175807,399,tandem,171919,175124,175337,11,-202,175231,66
YAR020C,chrI,177023,176856,-1,177023,176480,544,Verified,176752,2019,tandem,178033,1344,tandem,175808,NaN,NaN,NaN,NaN,NaN,NaN
YAR027W,chrI,183770,184477,1,183688,184552,865,Verified,184120,3867,divergent,181754,283,tandem,184694,183738,183467,50,-221,183603,124
YAR031W,chrI,186836,187732,1,186997,187889,893,Verified,187443,242,tandem,186876,175,tandem,187977,187006,186798,9,-199,186902,61
YAR033W,chrI,188107,188811,1,188065,188904,840,Verified,188485,175,tandem,187977,1288,tandem,189548,188090,187853,25,-212,187972,90
YAR035W,chrI,190193,192256,1,190193,192409,2217,Verified,191301,1288,tandem,189549,-73,convergent,192372,189666,189419,-527,-774,189543,100
YAR042W,chrI,192619,196185,1,192595,196418,3824,Verified,194507,177,divergent,192506,6984,tandem,199910,192628,192318,33,-277,192473,163
YAR050W,chrI,203403,208016,1,203403,208283,4881,Verified,205843,6984,tandem,199911,11914,tandem,214240,202816,202484,-587,-919,202650,185
YAR071W,chrI,225460,226863,1,225420,226913,1494,Verified,226167,2528,tandem,224156,3305,tandem,228566,NaN,NaN,NaN,NaN,NaN,NaN
YBL108C-A,chrII,7733,7605,-1,7733,7527,207,Verified,7630,2084,tandem,8775,2517,tandem,6268,7626,8465,107,-732,8046,692
YBL106C,chrII,13879,10847,-1,13946,10773,3174,Verified,12360,157,tandem,14025,221,tandem,10662,NaN,NaN,NaN,NaN,NaN,NaN
YBL105C,chrII,17696,14241,-1,17966,14104,3863,Verified,16035,127,tandem,18030,157,tandem,14025,17902,18191,64,-225,18047,142
YBL103C,chrII,23536,22076,-1,23790,21715,2076,Verified,22753,219,divergent,23900,416,tandem,21507,23748,24037,42,-247,23893,142
YBL102W,chrII,24098,24745,1,24010,24938,929,Verified,24474,219,divergent,23900,3488,tandem,26682,24037,23748,27,-262,23893,142
YBL101C,chrII,28299,24946,-1,28583,24810,3774,Verified,26697,8182,divergent,32674,-3618,convergent,26619,28583,28830,-0,-247,28707,100
YBL099W,chrII,37053,38690,1,36766,38922,2157,Verified,37844,8182,divergent,32675,202,tandem,39023,36778,36239,12,-527,36509,392
YBL098W,chrII,39145,40527,1,39125,40644,1520,Verified,39885,202,tandem,39024,136,tandem,40712,39179,38930,54,-195,39055,102
YBL097W,chrII,40831,43095,1,40781,43308,2528,Verified,42045,136,tandem,40713,-32,tandem,43292,40808,40518,27,-263,40663,143
YBL093C,chrII,44918,44256,-1,44998,44039,960,Verified,44519,583,divergent,45290,761,convergent,43658,44992,45659,6,-661,45326,520
YBL092W,chrII,45645,46370,1,45582,46517,936,Verified,46050,583,divergent,45290,41,convergent,46538,45659,44992,77,-590,45326,520
YBL091C-A,chrII,47180,46565,-1,47193,46559,635,Verified,46876,79,tandem,47233,976,convergent,46071,47139,47386,54,-193,47263,100
YBL091C,chrII,48628,47363,-1,48659,47273,1387,Verified,47966,134,divergent,48726,79,tandem,47233,48618,48844,41,-185,48731,79
YBL090W,chrII,48825,49358,1,48794,49477,684,Verified,49136,134,divergent,48727,32,tandem,49493,48844,48618,50,-176,48731,79
YBL089W,chrII,49574,50953,1,49510,51261,1752,Verified,50386,32,tandem,49494,-327,convergent,51097,49598,49371,88,-139,49485,80
YBL088C,chrII,59382,51019,-1,59438,50935,8504,Verified,55187,283,tandem,59580,1424,convergent,50223,59359,59557,79,-119,59458,51
YBL087C,chrII,60739,59822,-1,60762,59722,1041,Verified,60242,392,tandem,60958,283,tandem,59580,60759,61214,3,-452,60987,308
YBL085W,chrII,63876,66818,1,63661,66929,3269,Verified,65295,934,divergent,63194,-7,convergent,66925,63732,63439,71,-222,63586,146
YBL084C,chrII,69445,67169,-1,69543,66923,2621,Verified,68233,114,tandem,69600,3261,convergent,65292,69503,69772,40,-229,69638,122
YBL082C,chrII,71127,69751,-1,71409,69658,1752,Verified,70534,142,divergent,71480,114,tandem,69601,71355,71602,54,-193,71479,100
YBL080C,chrII,74695,73070,-1,74778,72965,1814,Verified,73872,427,divergent,74992,1412,convergent,72259,74706,74967,72,-189,74837,114
YBL079W,chrII,75259,79767,1,75206,79852,4647,Verified,77529,427,divergent,74992,525,convergent,80115,75236,74967,30,-239,75102,122
YBL078C,chrII,80731,80378,-1,80813,80378,436,Verified,80596,133,tandem,80880,5171,convergent,77792,80728,81040,85,-227,80884,165
YBL076C,chrII,84261,81043,-1,84269,80947,3323,Verified,82608,148,tandem,84343,133,tandem,80880,84252,84575,17,-306,84414,176
YBL075C,chrII,86448,84499,-1,86448,84418,2031,Verified,85433,273,tandem,86585,148,tandem,84344,86598,86798,-150,-350,86698,53
YBL074C,chrII,87789,86722,-1,87803,86722,1082,Verified,87263,599,tandem,88103,273,tandem,86585,87770,88076,33,-273,87923,159
YBL072C,chrII,89440,88523,-1,89116,88403,714,Verified,88760,329,tandem,89281,599,tandem,88103,89421,89658,-305,-542,89540,90
YBL071W-A,chrII,89978,90226,1,89935,90472,538,Verified,90204,378,divergent,89746,196,tandem,90570,89994,89421,59,-514,89708,426
YBL069W,chrII,90741,92030,1,90669,92111,1443,Verified,91390,196,tandem,90571,253,tandem,92238,90719,90436,50,-233,90578,136
YBL068W,chrII,92414,93394,1,92365,93483,1119,Verified,92924,253,tandem,92238,39,convergent,93503,92419,92159,54,-206,92289,113
YBL067C,chrII,95882,93639,-1,96169,93523,2647,Verified,94846,318,tandem,96328,1157,convergent,92944,96117,96382,52,-213,96250,118
YBL066C,chrII,100115,96669,-1,99053,96488,2566,Verified,97771,1245,tandem,99676,318,tandem,96329,NaN,NaN,NaN,NaN,NaN,NaN
YBL064C,chrII,101156,100371,-1,101224,100299,926,Verified,100762,661,divergent,101555,1245,tandem,99676,101158,101498,66,-274,101328,193
YBL063W,chrII,101886,105221,1,101886,105317,3432,Verified,103602,661,divergent,101555,-105,convergent,105264,101917,101668,31,-218,101793,102
YBL061C,chrII,107406,105316,-1,107510,105213,2298,Verified,106362,359,divergent,107690,3326,convergent,103550,107453,107720,57,-210,107587,120
YBL060W,chrII,107932,109995,1,107870,110039,2170,Verified,108955,359,divergent,107690,-75,convergent,110001,107925,107720,55,-150,107823,58
YBL059C-A,chrII,110539,110125,-1,110561,109965,597,Verified,110263,112,divergent,110617,2094,convergent,108918,110524,110731,37,-170,110628,60
YBL058W,chrII,111437,112708,1,111396,112825,1430,Verified,112111,79,tandem,111356,-92,convergent,112779,111452,111172,56,-224,111312,133
YBL057C,chrII,113427,112801,-1,113447,112734,714,Verified,113091,234,divergent,113564,1337,convergent,112065,113409,113705,38,-258,113557,149
YBL056W,chrII,113762,115168,1,113682,115535,1854,Verified,114609,234,divergent,113565,-57,convergent,115506,113705,113409,23,-273,113557,149
YBL055C,chrII,116829,115573,-1,116815,115479,1337,Verified,116147,662,divergent,117146,1796,convergent,114581,116840,117157,-25,-342,116999,170
YBL054W,chrII,117589,119166,1,117478,119311,1834,Verified,118395,662,divergent,117147,-2,convergent,119310,117468,117157,-10,-321,117313,164
YBL052C,chrII,121874,119379,-1,122062,119310,2753,Verified,120686,540,tandem,122332,1831,convergent,118394,122092,122344,-30,-282,122218,105
YBL051C,chrII,124759,122753,-1,124822,122603,2220,Verified,123713,235,divergent,124940,540,tandem,122333,124778,125089,44,-267,124934,164
YBL050W,chrII,125125,126119,1,125058,126186,1129,Verified,125622,235,divergent,124940,435,tandem,126404,125089,124778,31,-280,124934,164
YBL049W,chrII,126828,127244,1,126622,127244,623,Verified,126933,435,tandem,126404,506,convergent,127497,126329,126053,-293,-569,126191,129
YBL047C,chrII,132040,127895,-1,132211,127751,4461,Verified,129981,204,divergent,132313,1128,convergent,127187,132153,132459,58,-248,132306,159
YBL046W,chrII,132424,133749,1,132416,133931,1516,Verified,133174,204,divergent,132314,-92,convergent,133885,132459,132153,43,-263,132306,159
YBL045C,chrII,135516,134143,-1,135640,133840,1801,Verified,134740,357,divergent,135819,1423,convergent,133128,135652,136379,-12,-739,136016,580
YBL043W,chrII,136688,137461,1,136555,137644,1090,Verified,137100,45,tandem,136532,505,convergent,137897,136377,135649,-178,-906,136013,581
YBL042C,chrII,140260,138341,-1,140316,138150,2167,Verified,139233,899,divergent,140766,1594,convergent,137353,140317,140957,-1,-641,140637,493
YBL041W,chrII,141247,141972,1,141216,142028,813,Verified,141622,899,divergent,140766,-17,convergent,142019,141271,140957,55,-259,141114,167
YBL040C,chrII,142868,142112,-1,142900,142012,889,Verified,142456,207,divergent,143004,795,convergent,141614,142858,143107,42,-207,142983,102
YBL039C,chrII,145728,143989,-1,145782,143807,1976,Verified,144795,347,divergent,145956,698,convergent,143458,145749,146156,33,-374,145953,260
YBL038W,chrII,146187,146885,1,146130,146947,818,Verified,146539,347,divergent,145956,181,tandem,147038,146156,145749,26,-381,145953,260
YBL037W,chrII,147209,150286,1,147129,150403,3275,Verified,148766,181,tandem,147038,-103,convergent,150351,147172,146912,43,-217,147042,113
YBL036C,chrII,151220,150447,-1,151269,150301,969,Verified,150785,112,tandem,151325,3171,convergent,148715,151185,151485,84,-216,151335,153
YBL035C,chrII,153610,151493,-1,153688,151382,2307,Verified,152535,9,tandem,153693,112,tandem,151326,153666,153969,22,-281,153818,156
YBL034C,chrII,158389,153848,-1,158215,153698,4518,Verified,155957,273,tandem,158352,9,tandem,153693,158424,158699,-209,-484,158562,128
YBL033C,chrII,159693,158656,-1,159709,158489,1221,Verified,159099,384,divergent,159901,273,tandem,158352,159664,160149,45,-440,159907,338
YBL032W,chrII,160184,161329,1,160094,161532,1439,Verified,160813,384,divergent,159902,132,tandem,161598,160149,159664,55,-430,159907,338
YBL031W,chrII,161699,162715,1,161665,162874,1210,Verified,162270,132,tandem,161599,-134,convergent,162807,161721,161444,56,-221,161583,130
YBL030C,chrII,163997,163041,-1,164141,162741,1401,Verified,163441,267,tandem,164275,1075,convergent,162203,164076,164519,65,-378,164298,296
YBL028C,chrII,167838,167518,-1,167860,167433,428,Verified,167647,510,divergent,168115,1298,convergent,166784,167832,168431,28,-571,168132,452
YBL027W,chrII,168423,169376,1,168371,169460,1090,Verified,168916,510,divergent,168116,1120,tandem,170020,168431,167832,60,-539,168132,452
YBL026W,chrII,170623,171038,1,170581,171164,584,Verified,170873,1120,tandem,170021,248,tandem,171288,170623,170365,42,-216,170494,111
YBL025W,chrII,171481,171918,1,171413,171918,506,Verified,171666,248,tandem,171289,609,tandem,172223,171472,171224,59,-189,171348,101
YBL024W,chrII,172534,174588,1,172528,174708,2181,Verified,173618,609,tandem,172223,56,convergent,174736,172540,172239,12,-289,172390,154
YBL023C,chrII,177526,174920,-1,177611,174765,2847,Verified,176188,186,tandem,177704,2236,convergent,173647,177569,177839,42,-228,177704,123
YBL022C,chrII,181275,177874,-1,181394,177798,3597,Verified,179596,95,tandem,181442,186,tandem,177705,181364,181624,30,-230,181494,113
YBL021C,chrII,182094,181660,-1,182141,181490,652,Verified,181816,177,divergent,182230,95,tandem,181442,182067,182356,74,-215,182212,142
YBL020W,chrII,182401,184125,1,182319,184214,1896,Verified,183267,177,divergent,182230,86,tandem,184257,182356,182067,37,-252,182212,142
YBL019W,chrII,184353,185915,1,184301,186030,1730,Verified,185166,86,tandem,184258,-69,convergent,185995,184359,184164,58,-137,184262,48
YBL018C,chrII,186474,185998,-1,186515,185962,554,Verified,186239,261,tandem,186646,1660,convergent,185132,186466,186768,49,-253,186617,155
YBL017C,chrII,191583,186844,-1,191764,186777,4988,Verified,189271,663,divergent,192096,261,tandem,186646,191717,192011,47,-247,191864,147
YBL016W,chrII,192451,193512,1,192428,193647,1220,Verified,193038,663,divergent,192096,397,tandem,193846,192414,192126,-14,-302,192270,141
YBL015W,chrII,194122,195702,1,194045,195736,1692,Verified,194891,397,tandem,193846,3210,convergent,197341,194160,193958,115,-87,194059,55
YBL014C,chrII,201748,199064,-1,201777,198947,2831,Verified,200362,212,divergent,201883,4901,convergent,196496,201734,202066,43,-289,201900,185
YBL013W,chrII,202056,203261,1,201990,203261,1272,Verified,202626,212,divergent,201884,175,tandem,203349,202066,201734,76,-256,201900,185
YBL011W,chrII,203538,205817,1,203437,206019,2583,Verified,204728,175,tandem,203349,-56,convergent,205991,203483,203065,46,-372,203274,271
YBL009W,chrII,207194,209224,1,207152,209338,2187,Verified,208245,208,divergent,207048,70,tandem,209373,207201,206909,49,-243,207055,145
YBL008W,chrII,209653,212175,1,209653,212279,2627,Verified,210966,4,tandem,209651,268,convergent,212413,209607,209402,-46,-251,209505,58
YBL007C,chrII,216366,212632,-1,216366,212548,3819,Verified,214457,38,tandem,216385,2894,convergent,211101,216374,216665,-8,-299,216520,144
YBL006C,chrII,217129,216587,-1,217133,216405,729,Verified,216769,274,divergent,217270,38,tandem,216386,217101,217388,32,-255,217245,140
YBL005W,chrII,217470,220400,1,217408,220685,3278,Verified,219047,274,divergent,217271,6843,tandem,224107,217388,217101,-20,-307,217245,140
YBL004W,chrII,227636,235117,1,227529,235202,7674,Verified,231366,6843,tandem,224107,18,convergent,235211,227583,227267,54,-262,227425,169
YBL003C,chrII,235792,235394,-1,235827,235221,607,Verified,235524,641,divergent,236148,7691,convergent,231375,235926,236357,-99,-530,236142,284
YBL002W,chrII,236492,236887,1,236469,237079,611,Verified,236774,641,divergent,236148,-2,convergent,237078,236547,235932,78,-537,236240,468
YBL001C,chrII,237467,237153,-1,237528,237078,451,Verified,237303,1343,tandem,238200,608,convergent,236774,237473,237737,55,-209,237605,117
YBR001C,chrII,241283,238941,-1,241431,238872,2560,Verified,240152,167,tandem,241515,1343,tandem,238200,241391,241673,40,-242,241532,135
YBR002C,chrII,242568,241708,-1,242589,241599,991,Verified,242094,190,divergent,242684,167,tandem,241515,242532,242834,57,-245,242683,155
YBR003W,chrII,242809,244230,1,242780,244360,1581,Verified,243570,190,divergent,242685,-88,convergent,244316,242834,242532,54,-248,242683,155
YBR004C,chrII,245667,244366,-1,245683,244273,1411,Verified,244978,187,divergent,245777,1492,convergent,243527,245609,245892,74,-209,245751,136
YBR005W,chrII,245906,246547,1,245871,246731,861,Verified,246301,187,divergent,245777,152,tandem,246807,245892,245609,21,-262,245751,136
YBR006W,chrII,247010,248503,1,246884,248645,1762,Verified,247765,152,tandem,246808,-23,convergent,248633,246915,246648,31,-236,246782,120
YBR008C,chrII,254209,252563,-1,254427,252542,1886,Verified,253485,781,tandem,254818,1435,tandem,251824,254865,255167,-438,-740,255016,155
YBR009C,chrII,255684,255373,-1,255723,255209,515,Verified,255466,579,divergent,256013,781,tandem,254818,NaN,NaN,NaN,NaN,NaN,NaN
YBR010W,chrII,256331,256741,1,256303,256902,600,Verified,256603,579,divergent,256013,97,convergent,256951,NaN,NaN,NaN,NaN,NaN,NaN
YBR011C,chrII,257975,257112,-1,258014,257000,1015,Verified,257507,7325,tandem,261677,696,convergent,256652,257972,258288,42,-274,258130,169
YBR014C,chrII,267336,266725,-1,267396,266529,868,Verified,266963,174,tandem,267483,505,tandem,266276,267322,267647,74,-251,267485,178
YBR015C,chrII,269503,267710,-1,269503,267571,1933,Verified,268537,694,divergent,269850,174,tandem,267484,269564,269832,-61,-329,269698,121
YBR016W,chrII,270247,270633,1,270198,270836,639,Verified,270517,694,divergent,269851,-64,convergent,270804,270249,269983,51,-215,270116,119
YBR017C,chrII,273703,270947,-1,273755,270773,2983,Verified,272264,527,tandem,274019,574,convergent,270486,273705,274000,50,-245,273853,148
YBR018C,chrII,275527,274427,-1,275527,274283,1245,Verified,274905,623,tandem,275839,527,tandem,274019,275597,275850,-70,-323,275724,106
YBR019C,chrII,278352,276253,-1,278352,276151,2202,Verified,277252,668,divergent,278686,623,tandem,275839,278460,278792,-108,-440,278626,185
YBR020W,chrII,279021,280607,1,279021,280655,1635,Verified,279838,668,divergent,278687,669,tandem,280990,278792,278460,-229,-561,278626,185
YBR021W,chrII,281443,283344,1,281325,283434,2110,Verified,282380,669,tandem,280990,241,tandem,283555,281342,280874,17,-451,281108,321
YBR022W,chrII,283738,284271,1,283676,284426,751,Verified,284051,241,tandem,283555,-127,convergent,284362,NaN,NaN,NaN,NaN,NaN,NaN
YBR023C,chrII,287925,284428,-1,288074,284300,3775,Verified,286187,1278,divergent,288713,623,convergent,283988,288036,288315,38,-241,288176,132
YBR024W,chrII,289445,290350,1,289353,290580,1228,Verified,289967,1278,divergent,288714,-104,convergent,290528,289380,289145,27,-208,289263,88
YBR025C,chrII,291865,290681,-1,291886,290477,1410,Verified,291182,874,tandem,292323,1123,convergent,289915,291847,292265,39,-379,292056,271
YBR026C,chrII,294019,292877,-1,294040,292761,1280,Verified,293401,208,tandem,294144,874,tandem,292324,294022,294254,18,-214,294138,85
YBR029C,chrII,297742,296369,-1,297822,296241,1582,Verified,297032,198,divergent,297921,138,tandem,296172,297771,298061,51,-239,297916,143
YBR030W,chrII,298292,299950,1,298021,300119,2099,Verified,299070,198,divergent,297922,30,tandem,300134,298061,297771,40,-250,297916,143
YBR031W,chrII,300166,301254,1,300150,301347,1198,Verified,300749,30,tandem,300135,596,tandem,301645,300191,299863,41,-287,300027,181
YBR034C,chrII,305976,304930,-1,305990,304740,1251,Verified,305365,179,tandem,306080,2795,convergent,303342,305949,306308,41,-318,306129,212
YBR035C,chrII,306955,306269,-1,306982,306170,813,Verified,306576,1904,tandem,307934,179,tandem,306080,306941,307190,41,-208,307066,102
YBR036C,chrII,310313,309081,-1,310361,308887,1475,Verified,309624,133,tandem,310428,1904,tandem,307935,310324,310618,37,-257,310471,147
YBR037C,chrII,311452,310565,-1,311493,310495,999,Verified,310994,363,divergent,311675,133,tandem,310428,311445,311817,48,-324,311631,225
YBR038W,chrII,311898,314789,1,311857,314971,3115,Verified,313414,363,divergent,311675,516,tandem,315229,311817,311445,-40,-412,311631,225
YBR039W,chrII,315575,316510,1,315488,316688,1201,Verified,316088,516,tandem,315230,97,tandem,316737,315565,315271,77,-217,315418,147
YBR040W,chrII,316968,317864,1,316786,317864,1079,Verified,317325,97,tandem,316737,348,tandem,318038,316850,316628,64,-158,316739,75
